sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0048,train,dr-edge-mastery,1927,133,492,2226,220,3071,207083.95180618737,206963.09960655266,6937.724985043692,350.4080273522667,686.787113808613,50,0.0033164671034063816
train-0049,train,lhs,2142,1292,361,164,1205,3022,222101.8622124152,221984.17784502814,6883.953310934833,347.6921476809719,681.4640874641711,50,0.003068250219408013
train-0050,train,lhs,1610,2663,24,847,298,3832,209517.2102239815,209184.67373209322,6692.517094426779,338.02315861971897,662.5132171288029,50,0.003162094495342661
train-0051,train,lhs,1983,1417,1051,130,983,3581,238384.96027253705,238378.21223512018,7270.610629935652,367.2212914138925,719.740505846569,50,0.0030192362178541603
train-0052,train,lhs,1815,1042,1205,107,976,3330,217151.8285198367,217310.82615390065,6279.141863550974,317.14455655351634,621.5919090133623,50,0.002862476053046821
train-0053,train,lhs,1968,369,1113,1283,76,2841,214788.66288616965,214729.83350618026,6616.339822698278,334.1756253760394,654.9721905385276,50,0.0030493797099786384
train-0054,train,lhs,1644,1152,1251,370,193,2966,198708.33201099053,197981.68453923747,6023.530296690489,304.23422281946154,596.2881198550056,50,0.003000820920896387
train-0055,train,lhs,1733,898,197,421,1893,3409,206909.38128482393,206484.45993279666,6901.7047526153865,348.5887308801259,683.2213582444357,50,0.0033020318073637175
train-0056,train,dr-edge-versatility,1804,303,80,431,2883,3697,201350.40049404252,201355.26832065865,7078.02964695988,357.4944829146254,700.6763114950364,50,0.0034798853629087654
train-0057,train,lhs,1892,243,609,756,2152,3760,227000.4758820598,226622.20334119973,7725.15884273448,390.17944310291233,764.7376563286019,50,0.003368881291358739
train-0058,train,lhs,2248,469,689,506,1267,2931,225836.45675414213,225592.3889530973,7506.679037260273,379.14454653126023,743.109656465452,50,0.00329047695463289
train-0059,train,lhs,2155,735,1827,53,218,2833,209896.8608939975,209602.2752839913,6522.15061532696,329.4183520012648,645.6481060552247,50,0.0030760255456192417
train-0060,train,lhs,2290,1584,394,875,131,2984,234353.53337902267,234187.2524657799,7093.548422413606,358.2782994402712,702.2125636564706,50,0.0029963813795833585
train-0061,train,lhs,1614,383,1280,892,880,3435,209997.03146901153,209918.09590454816,6507.893256698045,328.69824664638514,644.2367254939605,50,0.0030678372974478362
train-0062,train,lhs,1685,386,796,285,1447,2914,193124.0408529307,193464.9376156697,6002.5735370682305,303.17574661656187,594.2135446179099,50,0.0030768491690292455
train-0063,train,lhs,1790,24,107,1856,1014,3001,198351.81373641122,198250.8259002154,6596.991335212127,333.1983791826708,653.0568231946472,50,0.003292416695833653
train-0064,train,dr-edge-crit,2266,2605,150,251,73,3079,216886.45514258998,216981.41266953864,6431.384666354762,324.8339792856167,636.6629006368634,50,0.0029354663951619074
train-0065,train,lhs,1762,604,903,28,1223,2758,194270.87172471758,193750.27540055226,6202.490863184765,313.2730964003964,614.0039865423017,50,0.003160556088986656
train-0066,train,lhs,1933,80,463,1963,1065,3571,228665.2898598143,228891.69339057006,7121.987354351931,359.7146824133635,705.027822552986,50,0.003083230616177955
train-0067,train,lhs,2053,21,787,1513,838,3159,225946.15063298546,225620.34117001586,7129.783014213166,360.10842269562806,705.7995393258293,50,0.003123751112150131
train-0068,train,lhs,1796,1107,1049,710,266,3132,217974.09631199684,218385.89445818978,6574.288927732608,332.05173444852596,650.8094408116646,50,0.002985719183256205
train-0069,train,lhs,2050,304,2108,780,33,3225,217866.49027392405,217921.74538111375,6436.581638270686,325.09646600585853,637.1773651551855,50,0.0029246230769773766
train-0070,train,lhs,1708,32,1091,351,1470,2944,194739.83009767698,194473.43018414982,6103.001724359408,308.24813606340933,604.1552452536989,50,0.003102371224986017
train-0071,train,lhs,1712,459,1805,128,668,3060,194349.00720713768,194773.63254149523,6114.154381315786,308.81143030355946,605.2592816775815,50,0.0031142905763984407
train-0072,train,dr-edge-haste,2118,110,2555,281,169,3115,202765.93365905152,202495.56763868238,6158.169384399672,311.0345236717425,609.6164646154215,50,0.003006503378622191
train-0073,train,lhs,2184,1042,555,269,1679,3545,242116.30239617935,242407.59356331715,7744.393573216961,391.15094369994506,766.6417625105894,50,0.0031664194229107274
train-0074,train,lhs,2055,947,1427,1106,69,3549,245371.67542035316,244455.46848036582,7493.818186069534,378.49497545348856,741.8365205470562,50,0.0030233176640139703
train-0075,train,lhs,1725,998,505,558,1639,3700,224872.36598650916,224684.83079236362,7472.992989385638,377.4431441824367,739.7749691370677,50,0.003289754905595867
train-0076,train,lhs,1674,100,178,2025,939,3242,198727.41234854423,198625.1082755735,6690.7773388182195,337.9352876919747,662.3409932750596,50,0.0033329120801582845
train-0077,train,lhs,1665,1674,1044,375,660,3753,227979.96895128637,228203.08559026665,6659.456525161633,336.3533477113424,659.2404478859419,50,0.0028916595213099843
train-0078,train,lhs,1980,693,660,258,1283,2894,210275.65528532147,210156.24491559088,6648.417705263452,335.79580311089234,658.1476805488006,50,0.003129928092035975
train-0079,train,lhs,2289,1479,1050,821,511,3861,275011.66143989726,275133.6253042305,8250.212905799239,416.6986779945295,816.7144016367702,50,0.0029697446186850514
train-0080,train,dr-edge-mastery,1601,295,214,2452,299,3260,191789.9235959378,191263.14834017702,6468.178201714725,326.6923334539636,640.3052078789578,50,0.003338575853588378
train-0081,train,lhs,2226,211,1597,1020,406,3234,231965.65051397262,231903.9562738754,7349.07032821367,371.1841046069095,727.5074769857855,50,0.003136272441086977
train-0082,train,lhs,1726,1199,1363,29,346,2937,198613.6398779751,198668.41247387364,6135.263482545677,309.8776009195887,607.3489376873,50,0.0030579417307917273
train-0083,train,lhs,1691,338,727,579,1444,3088,200949.0100057521,200371.30150278707,6683.378559156243,337.5615928868683,661.6085649155168,50,0.0032924201263622973
train-0084,train,lhs,2255,2083,628,347,470,3528,246160.32423074168,246252.5725312639,7742.209882916217,391.0406506842545,766.4255921719937,50,0.003113522029056049
train-0085,train,lhs,1631,115,1664,176,758,2713,179308.19872410645,179076.64979022622,5730.623218951838,289.440181324709,567.2923313266459,50,0.003163783560167895
train-0086,train,lhs,1903,1637,67,1152,175,3031,212258.65983296002,212036.15869427513,6755.312050067953,341.19478283101773,668.7294863581993,50,0.0031505404155687477
train-0087,train,lhs,2143,113,1460,487,1391,3451,232718.2946194188,232850.47346417615,7256.689859135454,366.5181863115951,718.3624451681089,50,0.0030868327148190025
train-0088,train,dr-edge-versatility,1867,430,137,455,2573,3595,208592.44064021984,208368.5514798294,6754.738135390211,341.1657957624139,668.6726727476932,50,0.0032056419240092194
train-0089,train,lhs,2220,460,520,159,1982,3121,219573.51642890906,219661.15269641037,7233.042925113179,365.3238357829222,716.0215611459558,50,0.003260965041645999
train-0090,train,lhs,1758,509,216,1122,1354,3201,207687.51893920678,207337.71902570894,7292.923278541663,368.34825035214567,721.9493047785799,50,0.0034761323572357044
train-0091,train,lhs,2243,1092,820,406,1066,3384,248914.8736990744,248208.67306523447,8302.458940789726,419.3375012539497,821.8864001890931,50,0.003301877416866268
train-0092,train,lhs,2223,142,127,1613,791,2673,210452.85222792096,210321.32932587963,7085.445089760193,357.8690193353113,701.4103893908048,50,0.003332862358316606
train-0093,train,lhs,2168,706,1059,328,715,2808,217985.52021681843,217813.2494750678,7026.604599835542,354.89712580430705,695.5855851015668,50,0.0031909715122807485
train-0094,train,lhs,2110,67,944,1496,432,2939,221553.2614408907,221318.13717567403,6711.271369720308,338.9703925651685,664.3697615476407,50,0.002998690956869038
train-0095,train,lhs,1940,1034,1270,519,425,3248,224722.32234339166,224772.996144662,6779.966484415733,342.440019810563,671.1701059914074,50,0.00298666415953913
train-0096,train,dr-edge-crit,1728,3133,198,87,304,3722,199956.3165108235,200069.9529141812,6399.113171631515,323.20402266005715,633.4682443529881,50,0.0031680331754796
train-0097,train,lhs,2128,1068,426,314,1724,3532,236891.39186001118,237044.23359036233,7469.586434718026,377.27108718915446,739.4377436267968,50,0.0031214209086320908
train-0098,train,lhs,2241,1042,1210,294,848,3394,244276.81149189014,244142.27990256328,7686.1663230822205,388.21002345565074,760.8776647478126,50,0.003114817407763132
train-0099,train,lhs,1660,72,1639,237,673,2621,178237.72265643853,178040.36758965702,5817.9365787468205,293.8501719532242,575.9357541345265,50,0.00323127868529082
train-0100,train,lhs,1649,608,189,1396,915,3108,201644.37790830707,201286.59113933984,6859.361970062544,346.4500974031672,679.0297136516068,50,0.0033674616703689066
train-0101,train,lhs,1941,1387,448,60,1926,3821,233993.30720740344,233870.9477798272,7936.5701547775125,400.8573268432819,785.6659239001094,50,0.0033576427175488516
train-0102,train,lhs,2263,217,1623,331,538,2709,210410.725281581,210419.9680232012,6378.38441516224,322.157062355415,631.4162398617367,50,0.0030008747843853845
train-0103,train,lhs,2064,477,2,1706,1068,3253,224717.83559711318,224149.8161775236,7502.776327973992,378.947429945451,742.7233150563391,50,0.0033051373651886507
train-0104,train,dr-edge-haste,1751,222,2670,617,333,3842,210127.10293915993,209886.47802569196,6263.817397533384,316.3705541364377,620.0748921512687,50,0.0029509515120988692
train-0105,train,lhs,1877,854,99,1099,874,2926,210159.20137901252,210331.1485293679,6937.347032871459,350.3889378848417,686.7496991399594,50,0.003267759368296407
train-0106,train,lhs,1850,747,1610,248,834,3439,219321.41594520336,218711.05481210462,6707.85403600192,338.79779114760777,664.0314689853911,50,0.003027663605597444
train-0107,train,lhs,2119,813,1741,1292,35,3881,259112.13765166132,259244.12277514004,7977.010891825621,402.89989251491755,789.6692790543478,50,0.0030475966360014504
train-0108,train,lhs,1635,585,1525,408,1311,3829,221191.09506738558,221224.75866860096,7197.717701739054,363.5396425690098,712.5246067036767,50,0.003221307831070717
train-0109,train,lhs,2100,532,658,1428,170,2788,219011.9002800054,218874.21795113143,7013.610728341676,354.2408361866514,694.299281086964,50,0.003170144088970995
train-0110,train,lhs,1949,53,144,567,1952,2716,190507.9030856372,190306.36848474725,6375.19760336899,321.996104053317,631.1007673864722,50,0.0033127274888054355
