sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0121,train,lhs,1805,466,676,1236,690,3068,273280.23361926223,273345.12627110264,15541.46047856715,784.9622924241113,1538.497823055253,50,0.0056297442470673136
train-0122,train,lhs,1612,1553,200,1204,247,3204,257693.87532801754,258013.5701619776,15150.446769287159,765.2131177549121,1499.7901519620732,50,0.005820045781270494
train-0123,train,lhs,1828,986,2248,370,104,3708,260300.59465444984,259797.3914255837,14219.937923022346,718.2153238157752,1407.6761684476971,50,0.00540788687139341
train-0124,train,lhs,1715,2442,47,72,438,2999,230887.15580846643,230206.98414366398,13585.1511546265,686.1537503486181,1344.8366391365282,50,0.005824648991094784
train-0125,train,lhs,1923,90,438,2641,169,3338,259927.9343048489,260167.28407214626,15561.760034505769,785.9875748283451,1540.5073396424248,50,0.005926670958865413
train-0126,train,lhs,2061,474,156,2275,118,3023,265565.70651283936,264530.6008886524,17494.68778335475,883.6151690251138,1731.8539082502045,50,0.006521376313949912
train-0127,train,lhs,1621,93,362,997,2051,3503,252326.1962462801,252441.55430038925,16075.981559952615,811.9596839480276,1591.4117381421122,50,0.006306962026997914
train-0128,train,dr-edge-crit,2137,2381,37,224,239,2881,252633.60942062608,252969.4363125987,14027.345516796582,708.4879383552557,1388.6108432728888,50,0.0054965404106660275
train-0129,train,lhs,2279,673,547,1117,899,3236,315624.42688167235,317224.822476021,20233.34381314473,1021.938186882394,2002.9620416035434,50,0.006346029872885771
train-0130,train,lhs,2180,505,783,365,981,2634,269197.90025158576,268191.2953017092,16263.31808384058,821.4216072626773,1609.956767071526,50,0.005980569557068981
train-0131,train,lhs,2224,1512,185,444,618,2759,275350.23650478735,274762.5575264387,16054.867327262718,810.8932541541293,1589.3215741531044,50,0.00577200003285805
train-0132,train,lhs,1698,83,1397,713,861,3054,237633.15326434586,237953.90657906377,13087.146912225367,661.0007377156531,1295.5376402513823,50,0.005451838779457727
train-0133,train,lhs,1931,833,854,1673,401,3761,309626.71676709346,309224.26687960647,17888.84630492727,903.5231807012847,1770.872894156599,50,0.005719380138273662
train-0134,train,lhs,2249,2,340,2361,95,2798,262629.7074027917,262791.9474732937,16782.01402581945,847.6197085446205,1661.304102070229,50,0.006325651878834517
train-0135,train,lhs,2086,1182,968,482,242,2874,283013.08456942067,283764.4475069159,15326.234064148883,774.0917169151382,1517.191886556998,50,0.0053608542123247446
train-0136,train,dr-edge-haste,1787,261,2601,311,259,3432,226261.11725962948,225867.56863725328,12310.83093876697,621.7908599173769,1218.6876918944777,50,0.0053862002745087715
train-0137,train,lhs,1862,393,996,190,1226,2805,251013.40660128856,250513.09707880285,14909.846805271047,753.0609844614098,1475.9724083609206,50,0.005880054090917006
train-0138,train,lhs,2169,577,179,2757,86,3599,289445.7342181611,289319.7736596437,18636.297351113117,941.275159512927,1844.865413005337,50,0.006373786844669214
train-0139,train,lhs,1925,1228,559,176,1164,3127,276602.3242985669,277315.1809468565,15853.573977709504,800.7264046914985,1569.3949153612743,50,0.005673831264220528
train-0140,train,lhs,2040,559,382,1933,645,3519,292044.5072142435,292249.40183127014,18558.604541313318,937.3510800372932,1837.1743585572126,50,0.006290734162685222
train-0141,train,lhs,2206,434,530,1734,918,3616,314804.4283378667,315033.94976787956,19741.169622092904,997.0796363096975,1954.240177751593,50,0.006207791256526376
train-0142,train,lhs,1747,1083,360,28,1699,3170,254469.8425918123,253811.92427338642,15409.462609569613,778.2953932619447,1525.4309408030538,50,0.00599454507169226
train-0143,train,lhs,1939,2012,309,722,563,3606,285869.1790537142,285964.654039758,17077.35942812676,862.5369040277467,1690.5412679804604,50,0.005913688469587732
train-0144,train,dr-edge-mastery,1851,103,143,2440,329,3015,243477.8184326042,243789.25384646092,15088.644400128644,762.0916267316707,1493.672141975743,50,0.006134736016575566
train-0145,train,lhs,2087,1020,527,233,1487,3267,285595.7516563436,285418.8079144392,17914.059683045678,904.796648604438,1773.3688453833536,50,0.006209367033993007
train-0146,train,lhs,1914,776,1287,554,985,3602,279567.2392909998,278805.2561898327,15838.713019812294,799.9758129697809,1567.9237826189617,50,0.005608395985864852
train-0147,train,lhs,2181,1139,106,502,922,2669,273906.205476545,273749.7477933181,15778.344129239904,796.9267235486062,1561.9476771651682,50,0.005702491020412169
train-0148,train,lhs,1780,112,1225,505,1902,3744,273496.4599613584,273017.24092214665,16696.049066592255,843.2778224293365,1652.7941616555256,50,0.0060432012973368815
train-0149,train,lhs,2044,1160,1563,184,196,3103,261014.67448539686,261884.53087419592,13773.573091393146,695.6704952923322,1363.48911648453,50,0.005223802528239898
train-0150,train,lhs,2008,571,382,1970,399,3322,280910.75695148244,281788.33700650383,18245.777120763894,921.5509092936079,1806.2065929362784,50,0.006429823523092203
train-0151,train,lhs,1740,447,162,123,2140,2872,226374.20691175593,225690.854370259,15470.924268432685,781.3996758165913,1531.5152228106942,50,0.006765413974073918
train-0152,train,dr-edge-versatility,2131,60,309,176,2997,3542,254796.9400408715,253953.2408610748,16632.831985920646,840.084877684357,1646.5361049479652,50,0.006462150231018659
train-0153,train,lhs,2237,1675,22,986,472,3155,294014.9762982647,294884.2036610052,16501.64454985984,833.458911566852,1633.5494499891156,50,0.00555600762435977
train-0154,train,lhs,1937,2657,291,40,754,3742,271122.93947354285,271319.4414568648,15715.372342676743,793.7461680270175,1555.713902889261,50,0.0057380386399988595
train-0155,train,lhs,1647,359,341,1754,1338,3792,277739.96226421517,277683.8904828865,17005.167842703162,858.8906783422013,1683.3947969541186,50,0.006061046394730544
train-0156,train,lhs,1661,627,261,344,2357,3589,248569.17319636678,248751.65419985016,16477.88465006284,832.2588554049395,1631.1973831312991,50,0.006562347865407558
train-0157,train,lhs,2198,4,248,2105,1106,3463,293575.0005012552,293322.1438971789,17920.039115038562,905.0986555265674,1773.9607680740714,50,0.006042615226246033
