left_id,right_id,true_delta_pp,quadratic-polynomial,piecewise-additive-interaction-grids
test-0002,test-0094,-3.421683173000678,-3.8839225287075676,-4.125929981245263
test-0002,test-0098,-2.5413694970837613,-1.7925710824247714,-2.573612648714463
test-0002,test-0101,5.110215033037605,4.991800461460744,4.197715286678641
test-0002,test-0106,8.280802413883245,7.726393802099352,8.12827263851891
test-0002,test-0109,6.0342201492397365,6.325167829121894,5.872865607992879
test-0002,test-0113,1.3226223323995243,2.2030823279214413,1.3361257484736533
test-0002,test-0123,3.1065971574107443,2.8053107731816516,2.9930108970105618
test-0002,test-0125,-4.465112650318946,-3.6015911667874234,-4.555637523099102
test-0002,test-0126,3.5666385085927566,3.3717881373844496,2.9130707017669533
test-0002,test-0138,3.815096798278008,3.486038242602611,3.2640765712683826
test-0003,test-0035,-1.0678709607023682,-2.2671837810954005,-1.4464237673987046
test-0003,test-0041,-2.5361144486892715,-2.1285634158874567,-2.593265586533632
test-0003,test-0043,-13.145254264250694,-13.764498472147753,-14.05454671100948
test-0003,test-0050,1.7788835123563569,1.069569534070878,1.3708514040018325
test-0003,test-0051,-6.788640166499185,-7.049131624126405,-7.825679351508656
test-0003,test-0059,10.032435062736253,10.775872560016046,9.857763576405658
test-0003,test-0078,0.7836601874370501,-0.8325875258242934,-0.2820933037272493
test-0003,test-0082,0.028864970722974698,0.051314808939569106,-0.4154487809226402
test-0003,test-0083,-2.049426275532198,-3.4416160411697088,-2.7458579027562466
test-0003,test-0095,7.826823136938252,7.559867446690256,8.881011595245038
test-0003,test-0141,-5.32871931886279,-5.367699957720676,-6.031067632910485
test-0003,test-0143,-4.489884197694021,-5.527341932747143,-4.757676276089717
test-0003,test-0148,1.1334108821326043,-0.6929217256436125,0.6770183764472493
test-0003,test-0151,-2.983933294010987,-2.637659520264031,-3.7990729263261866
test-0003,test-0153,0.39101401237474875,0.9511521624087107,-0.30917774103565837
test-0003,test-0159,-9.322924727380991,-9.451355557023257,-9.90312560323699
test-0004,test-0005,0.07151955163554936,-0.5386580167815581,-0.7111550857768075
test-0004,test-0013,1.9085176039436935,-0.10433774370274278,0.6695745553958835
test-0004,test-0018,-1.670064086190548,-3.347999912327662,-2.559300441106986
test-0004,test-0019,-5.552532040181575,-5.8934904234878305,-5.5751338138667625
test-0004,test-0031,-4.458927311046419,-4.813137285447471,-5.054751013516634
test-0004,test-0043,-2.6925367907406237,-3.495445486174003,-4.236725165520459
test-0004,test-0046,2.5023137594896334,-0.7174967004476794,0.2846383183662382
test-0004,test-0050,14.027677808072859,13.105085608384147,12.950765069152794
test-0004,test-0053,9.766271745079395,7.559875187758689,7.480287744986507
test-0004,test-0054,1.1887568356569727,1.2260931772642096,1.0880343251564017
test-0004,test-0063,-8.045845572699243,-8.894360140984327,-8.666233291084401
test-0004,test-0072,-12.785180462917422,-13.35955080273503,-13.546175917519102
test-0004,test-0076,-1.886073469503975,-2.921156505476593,-1.9269314809296316
test-0004,test-0078,12.912682234092129,10.976416830117412,11.108999248217447
test-0004,test-0079,0.8283067040089336,0.8270264721032183,0.7208918426524412
test-0004,test-0083,9.738642008325153,8.056701282270131,8.363791009790498
test-0004,test-0093,-0.19017129142357836,-0.06664959017153586,-0.788313076106741
test-0004,test-0094,3.145460519852087,1.1180553939808964,1.4824122842752778
test-0004,test-0108,-6.216270618490947,-6.4783203083458325,-6.898567961079596
test-0004,test-0115,-2.013453219976131,-3.151665744507027,-2.9314609157763587
test-0004,test-0116,2.548217470446676,0.4892097237642481,0.6083107836438836
test-0004,test-0129,2.754645057142645,1.6347820452922652,1.8886574312139484
test-0004,test-0140,4.003349815970965,1.50344013296692,2.7645194591983144
test-0004,test-0142,-0.09085169639137951,-2.168461873258459,-0.6752944688162327
test-0004,test-0143,7.004482032806825,5.722604020255333,6.1221562469278545
test-0004,test-0145,1.067264817622388,-0.00045692213007138564,0.1431094232063226
test-0004,test-0148,13.30452441344805,11.132714243461736,12.177673295658597
test-0004,test-0149,15.874100758240099,14.054081712631824,14.137636614318216
test-0004,test-0155,-0.5843156767205985,-0.060823917363497015,-0.8661277189052521
